FAIL n=32 alpha=17 par=0,1,2,3,4,5,6,7,4,9,10,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,29,30,31 poly=1,32,465,4071,24015,101101,313715,730300,1285051,1707570,1697371,1237697,639989,221470,46078,4509,67,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,15,24,2,26,1,28,29,30,31 poly=1,32,465,4082,24272,103783,330263,797596,1475209,2090497,2250895,1807165,1045933,411314,98229,10886,89,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,15,24,2,26,1,28,29,30,29 poly=1,32,465,4083,24298,104083,332308,806822,1504368,2156944,2361217,1939927,1159115,476393,121054,14706,166,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,15,24,1,26,27,28,29,28,31 poly=1,32,465,4082,24273,103796,330315,797521,1473669,2083469,2232671,1776639,1012073,387119,88089,8987,91,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,15,24,1,26,27,28,29,26,31 poly=1,32,465,4082,24273,103797,330335,797701,1474629,2086829,2240735,1790079,1027433,398639,93209,10011,91,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,25,26,1,28,29,30,31 poly=1,32,465,4078,24179,102816,324302,773281,1405968,1949261,2043055,1588531,886135,334731,76826,8279,78,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,25,26,1,28,29,30,29 poly=1,32,465,4079,24205,103116,326343,782438,1434610,2013477,2147228,1710021,985532,388934,94604,11030,141,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,2,26,1,28,29,30,31 poly=1,32,465,4080,24227,103333,327611,787319,1447605,2037848,2179247,1738490,1001149,392776,93995,10502,81,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,2,26,1,28,29,30,29 poly=1,32,465,4081,24253,103633,329653,796494,1476391,2102736,2285436,1864012,1105922,451587,114077,13765,144,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,1,26,27,28,29,28,31 poly=1,32,465,4079,24204,103091,326071,780719,1427541,1993496,2107439,1654010,930749,353352,80683,8454,81,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,1,26,27,28,29,26,31 poly=1,32,465,4079,24204,103093,326111,781071,1429342,1999454,2120801,1674635,952419,368196,86671,9535,82,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,2,24,1,26,27,28,27,26,31 poly=1,32,465,4080,24229,103370,327921,788881,1452888,2050488,2201145,1766037,1025888,407971,99840,11659,143,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,1,24,25,26,27,26,29,26,31 poly=1,32,465,4080,24229,103360,327737,787374,1445625,2027612,2151838,1692258,950093,356702,79124,7779,87,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,1,24,25,26,27,26,29,24,31 poly=1,32,465,4079,24205,103107,326179,781111,1428307,1993961,2105985,1649682,925097,349185,79008,8174,85,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,1,24,25,26,27,24,29,30,31 poly=1,32,465,4078,24180,102831,324391,773511,1405918,1947038,2035553,1574795,870499,323652,72335,7487,82,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,1,24,25,26,27,24,29,24,31 poly=1,32,465,4080,24229,103362,327776,787716,1447401,2033660,2165950,1715106,975437,375134,87060,9315,87,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,15,22,1,24,25,26,25,24,29,24,31 poly=1,32,465,4081,24253,103617,329375,794351,1466692,2074110,2227763,1783605,1029288,403805,96488,10869,147,2 breaks=16(dist5)
