FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,2,19,19,1,22,23,24,23,26,1,28,1,30 poly=1,31,435,3671,20862,84650,253541,571128,975945,1265584,1236004,893874,464700,165031,36377,3957,62,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,2,19,19,1,22,23,24,1,26,27,28,1,30 poly=1,31,435,3670,20838,84397,251987,564922,958953,1232873,1191418,851206,436745,153088,33347,3595,59,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,2,19,19,1,22,23,24,1,26,1,28,1,30 poly=1,31,435,3673,20905,85065,255917,580114,999595,1310001,1295993,951731,503620,182428,41054,4540,64,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,19,25,25,1,28,1,30 poly=1,31,435,3670,20844,84507,252881,569172,972072,1260439,1231557,891585,464156,165023,36361,3941,62,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,26,26,25,1,30 poly=1,31,435,3670,20846,84548,253246,571042,978212,1274001,1252039,912530,478071,170464,37322,3947,62,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,23,1,25,25,1,28,1,30 poly=1,31,435,3672,20889,84959,255555,579529,999678,1312174,1299801,953727,501352,178159,38398,3918,61,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,20,20,19,1,26,1,28,1,30 poly=1,31,435,3674,20937,85471,258778,592913,1038427,1392594,1420643,1084498,600987,229076,54204,6261,108,2 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,19,23,23,1,26,27,28,1,30 poly=1,31,435,3669,20821,84274,251502,563850,957942,1233948,1196180,858106,442128,155321,33715,3583,59,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,19,23,23,1,26,1,28,1,30 poly=1,31,435,3672,20888,84941,255419,578974,998410,1310904,1300954,959426,509988,185236,41550,4524,64,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,19,1,24,1,26,1,28,1,30 poly=1,31,435,3675,20952,85545,258745,590823,1026934,1357662,1351538,991497,515891,178070,35972,3219,55,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,25,1,27,28,28,27 poly=1,31,435,3669,20822,84295,251693,564845,961244,1241272,1207215,869291,449446,158121,34196,3586,59,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,25,1,27,27,1,30 poly=1,31,435,3671,20865,84706,254001,573317,982612,1279081,1254137,909256,471607,165240,35144,3557,58,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,24,24,23,1,28,1,30 poly=1,31,435,3672,20889,84962,255611,579986,1001832,1318692,1313075,972199,518731,188757,42190,4528,64,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,21,1,23,23,1,26,1,28,1,30 poly=1,31,435,3675,20953,85568,258979,592219,1032380,1372294,1379235,1028512,550180,199077,43654,4503,63,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,19,19,1,24,1,26,1,28,1,30 poly=1,31,435,3677,20998,86021,261689,602992,1062457,1432922,1468331,1123432,621838,235604,55058,6233,107,2 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,3,6,3,8,3,10,2,12,13,12,15,12,17,1,19,20,19,1,23,23,1,26,1,28,1,30 poly=1,31,435,3676,20974,85764,260059,596150,1042379,1390593,1403619,1052128,566542,206915,46092,4941,99,2 breaks=16(dist5)
STATS n=31 trees=653674647 failures=35 alarms=0
