FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,13,20,2,22,22,2,25,1,27,28,29,30 poly=1,31,435,3671,20866,84722,254104,573639,982961,1278155,1249831,901246,463043,159800,33245,3278,57,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,29,27 poly=1,31,435,3671,20867,84741,254264,574426,985467,1283551,1257765,909044,467823,161292,33277,3197,55,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,27,27 poly=1,31,435,3673,20917,85294,257858,589776,1031025,1380208,1405875,1072118,593945,226544,53705,6222,107,2 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,26,1 poly=1,31,435,3672,20889,84955,255484,578975,997163,1304793,1285135,933714,482811,166985,34433,3282,57,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,13,20,2,22,1,24,25,26,27,24,29,29 poly=1,31,435,3670,20845,84524,253000,569600,972789,1260175,1227553,882324,452587,156436,32773,3279,57,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,2,20,20,2,23,2,25,1,27,28,29,30 poly=1,31,435,3671,20865,84703,253946,572879,980612,1273267,1242877,894544,458829,158213,32953,3266,57,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,2,20,2,22,2,24,1,26,27,28,29,27 poly=1,31,435,3671,20867,84742,254281,574551,985992,1284945,1260200,911852,469896,162194,33465,3205,55,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,2,20,2,22,2,24,1,26,27,28,27,27 poly=1,31,435,3673,20917,85295,257874,589886,1031455,1381267,1407586,1073939,595184,227041,53801,6226,107,2 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,2,20,2,22,2,24,1,26,27,28,26,1 poly=1,31,435,3672,20888,84937,255342,578325,995244,1300964,1279892,928833,479836,165895,34237,3274,57,1 breaks=16(dist5)
FAIL n=31 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,3,13,14,13,16,13,18,2,20,2,22,1,24,25,26,27,24,29,29 poly=1,31,435,3669,20823,84312,251817,565345,962416,1242670,1207097,866098,444250,153909,32404,3265,57,1 breaks=16(dist5)
STATS n=31 trees=619087934 failures=10 alarms=0
