FAIL n=32 alpha=17 par=0,1,2,3,4,5,6,7,6,9,4,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,29,30,31 poly=1,32,465,4072,24040,101377,315496,737785,1306629,1751266,1759824,1299922,681815,239268,50318,4934,69,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,6,7,6,9,4,11,3,13,14,13,16,13,18,13,20,2,22,2,24,1,26,27,28,29,30,29 poly=1,32,465,4073,24066,101677,317532,746857,1334648,1812889,1857224,1409880,768409,284538,64536,7050,117,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,6,5,8,3,10,11,12,2,14,15,16,17,14,19,14,21,1,23,24,25,26,27,1,29,1,31 poly=1,32,465,4069,23969,100631,310902,719352,1255980,1653855,1628317,1177121,605345,209713,44186,4456,65,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,21,22,1,24,25,26,27,24,29,24,31 poly=1,32,465,4069,23969,100634,310962,719873,1258561,1661917,1644877,1199735,625587,221072,47804,4963,70,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,21,22,1,24,25,24,27,24,29,24,31 poly=1,32,465,4072,24040,101381,315576,738486,1310175,1762742,1784665,1336344,717507,261608,58368,6204,73,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,21,20,1,24,25,24,27,24,29,24,31 poly=1,32,465,4073,24064,101637,317180,745057,1328702,1799568,1836596,1387861,752609,277339,62687,6851,116,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,11,22,1,24,25,26,27,24,29,24,31 poly=1,32,465,4072,24040,101383,315614,738798,1311628,1766976,1792694,1346321,725473,265492,59415,6333,78,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,11,22,1,24,25,24,27,24,29,24,31 poly=1,32,465,4075,24111,102131,320252,757651,1364572,1872351,1942558,1497588,831243,314173,72677,7958,81,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,1,22,23,24,25,22,27,28,29,22,31 poly=1,32,465,4069,23969,100634,310962,719872,1258545,1661810,1644488,1198898,624500,220241,47459,4899,67,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,1,22,23,24,25,22,27,22,29,22,31 poly=1,32,465,4072,24040,101382,315595,738641,1310886,1764758,1788318,1340555,720461,262731,58530,6196,72,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,1,22,23,24,23,22,27,22,29,22,31 poly=1,32,465,4073,24063,101617,317006,744191,1325975,1793899,1828732,1380696,748532,276054,62533,6860,117,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,2,9,1,11,12,13,14,11,16,17,18,11,20,1,22,23,22,25,22,27,22,29,22,31 poly=1,32,465,4076,24133,102345,321466,762110,1375695,1891553,1965451,1515995,840682,316897,72976,7939,79,1 breaks=16(dist5)
