invariant,first_fail_n,E,J,edges,root
E_dom_J,4,"(1, 3, 1)","(1, 2, 1)","((0, 1), (0, 2), (0, 3))",1
I_dom_1pxJ,3,"(1, 2)","(1, 1)","((0, 1), (0, 2))",1
SCC_ge_xI,3,"(1, 2, 1)","(1,)","((0, 1), (0, 2))",0
d_km1_JE_ge0_prefix_to_modeI,2,"(1, 1)","(1,)","((0, 1),)",1
ratio_J_over_E_logconcave,4,"(1, 3, 1)","(1, 2, 1)","((0, 1), (0, 2), (0, 3))",1
